Judge_Id,Case_Id,Judge_Name,Court_Name
J007,C001,Rahul Singh,High Court
J014,C002,Rohit Sharma,High Court
J012,C003,Kavita Singh,Sessions Court
J009,C004,Rohit Reddy,District Court
J005,C005,Sneha Joshi,Sessions Court
J001,C006,Neha Khan,District Court
J007,C007,Rahul Singh,High Court
J015,C008,Arjun Patel,District Court
J008,C009,Rahul Mehta,District Court
J007,C010,Rahul Singh,District Court
J007,C011,Rahul Singh,Sessions Court
J004,C012,Rahul Das,High Court
J015,C013,Arjun Patel,District Court
J001,C014,Neha Khan,District Court
J008,C015,Rahul Mehta,Sessions Court
J001,C016,Neha Khan,High Court
J010,C017,Anjali Sharma,Sessions Court
J015,C018,Arjun Patel,District Court
J007,C019,Rahul Singh,High Court
J015,C020,Arjun Patel,Sessions Court
J016,C021,Arjun Joshi,Sessions Court
J013,C022,Arjun Das,High Court
J013,C023,Arjun Das,High Court
J006,C024,Anjali Nair,District Court
J004,C025,Rahul Das,District Court
J007,C026,Rahul Singh,High Court
J008,C027,Rahul Mehta,High Court
J004,C028,Rahul Das,High Court
J002,C029,Vikram Das,High Court
J014,C030,Rohit Sharma,Sessions Court
J003,C031,Amit Patel,Sessions Court
J007,C032,Rahul Singh,Sessions Court
J016,C033,Arjun Joshi,Sessions Court
J014,C034,Rohit Sharma,District Court
J013,C035,Arjun Das,High Court
J004,C036,Rahul Das,High Court
J016,C037,Arjun Joshi,Sessions Court
J014,C038,Rohit Sharma,Sessions Court
J007,C039,Rahul Singh,Sessions Court
J004,C040,Rahul Das,District Court
J010,C041,Anjali Sharma,High Court
J009,C042,Rohit Reddy,Sessions Court
J017,C043,Arjun Nair,District Court
J008,C044,Rahul Mehta,High Court
J018,C045,Vikram Mehta,High Court
J003,C046,Amit Patel,High Court
J010,C047,Anjali Sharma,Sessions Court
J009,C048,Rohit Reddy,High Court
J016,C049,Arjun Joshi,Sessions Court
J015,C050,Arjun Patel,High Court
J007,C051,Rahul Singh,High Court
J007,C052,Rahul Singh,Sessions Court
J001,C053,Neha Khan,District Court
J002,C054,Vikram Das,District Court
J002,C055,Vikram Das,District Court
J012,C056,Kavita Singh,Sessions Court
J005,C057,Sneha Joshi,District Court
J007,C058,Rahul Singh,District Court
J007,C059,Rahul Singh,Sessions Court
J010,C060,Anjali Sharma,Sessions Court
J009,C061,Rohit Reddy,District Court
J009,C062,Rohit Reddy,High Court
J011,C063,Arjun Khan,District Court
J008,C064,Rahul Mehta,High Court
J001,C065,Neha Khan,High Court
J009,C066,Rohit Reddy,High Court
J012,C067,Kavita Singh,High Court
J002,C068,Vikram Das,Sessions Court
J005,C069,Sneha Joshi,District Court
J003,C070,Amit Patel,Sessions Court
J016,C071,Arjun Joshi,District Court
J008,C072,Rahul Mehta,Sessions Court
J018,C073,Vikram Mehta,High Court
J008,C074,Rahul Mehta,District Court
J011,C075,Arjun Khan,High Court
J001,C076,Neha Khan,High Court
J002,C077,Vikram Das,High Court
J001,C078,Neha Khan,District Court
J001,C079,Neha Khan,District Court
J013,C080,Arjun Das,High Court
J008,C081,Rahul Mehta,District Court
J009,C082,Rohit Reddy,Sessions Court
J002,C083,Vikram Das,High Court
J005,C084,Sneha Joshi,High Court
J002,C085,Vikram Das,High Court
J007,C086,Rahul Singh,Sessions Court
J007,C087,Rahul Singh,High Court
J012,C088,Kavita Singh,High Court
J013,C089,Arjun Das,Sessions Court
J012,C090,Kavita Singh,High Court
J009,C091,Rohit Reddy,Sessions Court
J003,C092,Amit Patel,District Court
J017,C093,Arjun Nair,High Court
J006,C094,Anjali Nair,District Court
J005,C095,Sneha Joshi,Sessions Court
J002,C096,Vikram Das,District Court
J018,C097,Vikram Mehta,High Court
J011,C098,Arjun Khan,Sessions Court
J003,C099,Amit Patel,District Court
J002,C100,Vikram Das,Sessions Court
