Advocate_Id,Case_Id,Advocate_Name,Role,Experience_Years
A007,C001,Sneha Joshi,Defense,5
A011,C002,Arjun Nair,Prosecution,12
A004,C002,Arjun Das,Prosecution,5
A018,C003,Rahul Sharma,Prosecution,15
A020,C003,Amit Singh,Prosecution,17
A013,C004,Rahul Mehta,Prosecution,6
A012,C005,Rahul Joshi,Prosecution,3
A015,C006,Priya Singh,Prosecution,18
A014,C006,Anjali Khan,Defense,11
A015,C007,Priya Singh,Defense,8
A023,C008,Vikram Patel,Defense,14
A022,C009,Sneha Gupta,Defense,3
A002,C010,Sneha Reddy,Prosecution,19
A022,C011,Sneha Gupta,Prosecution,10
A024,C011,Kavita Singh,Defense,12
A009,C012,Rahul Reddy,Prosecution,18
A024,C012,Kavita Singh,Prosecution,5
A024,C013,Kavita Singh,Defense,4
A003,C013,Neha Joshi,Prosecution,14
A007,C014,Sneha Joshi,Prosecution,19
A001,C014,Anjali Nair,Defense,15
A004,C015,Arjun Das,Defense,14
A018,C015,Rahul Sharma,Defense,17
A002,C016,Sneha Reddy,Defense,12
A006,C017,Neha Reddy,Prosecution,20
A011,C018,Arjun Nair,Prosecution,4
A006,C019,Neha Reddy,Prosecution,11
A009,C020,Rahul Reddy,Prosecution,11
A005,C020,Rahul Das,Prosecution,7
A001,C021,Anjali Nair,Defense,10
A006,C021,Neha Reddy,Prosecution,13
A010,C022,Neha Gupta,Prosecution,15
A011,C022,Arjun Nair,Defense,7
A024,C023,Kavita Singh,Defense,7
A024,C024,Kavita Singh,Defense,18
A011,C024,Arjun Nair,Defense,16
A022,C025,Sneha Gupta,Defense,16
A003,C025,Neha Joshi,Prosecution,8
A007,C026,Sneha Joshi,Defense,16
A023,C026,Vikram Patel,Defense,16
A023,C027,Vikram Patel,Defense,15
A001,C028,Anjali Nair,Defense,17
A022,C028,Sneha Gupta,Defense,12
A002,C029,Sneha Reddy,Prosecution,15
A018,C029,Rahul Sharma,Prosecution,8
A007,C030,Sneha Joshi,Defense,15
A019,C031,Vikram Das,Defense,7
A020,C032,Amit Singh,Prosecution,9
A004,C032,Arjun Das,Defense,12
A017,C033,Amit Khan,Defense,3
A001,C033,Anjali Nair,Defense,6
A019,C034,Vikram Das,Defense,10
A013,C034,Rahul Mehta,Defense,8
A002,C035,Sneha Reddy,Prosecution,10
A024,C036,Kavita Singh,Prosecution,12
A014,C037,Anjali Khan,Prosecution,3
A025,C037,Vikram Sharma,Defense,11
A009,C038,Rahul Reddy,Prosecution,18
A023,C038,Vikram Patel,Defense,17
A017,C039,Amit Khan,Defense,20
A007,C040,Sneha Joshi,Defense,3
A013,C040,Rahul Mehta,Prosecution,17
A024,C041,Kavita Singh,Prosecution,17
A018,C042,Rahul Sharma,Defense,13
A008,C043,Sneha Khan,Prosecution,14
A001,C043,Anjali Nair,Prosecution,16
A007,C044,Sneha Joshi,Defense,10
A003,C044,Neha Joshi,Defense,11
A019,C045,Vikram Das,Prosecution,14
A013,C045,Rahul Mehta,Defense,8
A015,C046,Priya Singh,Defense,8
A003,C047,Neha Joshi,Prosecution,20
A008,C048,Sneha Khan,Defense,14
A014,C049,Anjali Khan,Prosecution,14
A024,C049,Kavita Singh,Defense,11
A006,C050,Neha Reddy,Defense,10
A025,C050,Vikram Sharma,Prosecution,19
A016,C051,Amit Nair,Defense,5
A003,C052,Neha Joshi,Defense,11
A008,C053,Sneha Khan,Prosecution,3
A003,C053,Neha Joshi,Prosecution,17
A002,C054,Sneha Reddy,Prosecution,4
A005,C055,Rahul Das,Defense,15
A002,C055,Sneha Reddy,Defense,10
A014,C056,Anjali Khan,Defense,17
A013,C057,Rahul Mehta,Defense,3
A012,C057,Rahul Joshi,Defense,5
A018,C058,Rahul Sharma,Prosecution,16
A017,C058,Amit Khan,Prosecution,18
A024,C059,Kavita Singh,Defense,11
A007,C060,Sneha Joshi,Defense,4
A002,C060,Sneha Reddy,Defense,16
A005,C061,Rahul Das,Defense,15
A010,C062,Neha Gupta,Defense,7
A001,C063,Anjali Nair,Prosecution,16
A017,C064,Amit Khan,Prosecution,20
A008,C065,Sneha Khan,Defense,3
A007,C066,Sneha Joshi,Prosecution,10
A014,C066,Anjali Khan,Defense,19
A022,C067,Sneha Gupta,Prosecution,15
A005,C067,Rahul Das,Defense,20
A019,C068,Vikram Das,Defense,20
A022,C069,Sneha Gupta,Prosecution,13
A015,C069,Priya Singh,Prosecution,19
A017,C070,Amit Khan,Defense,12
A006,C071,Neha Reddy,Prosecution,8
A023,C071,Vikram Patel,Prosecution,20
A016,C072,Amit Nair,Defense,3
A006,C073,Neha Reddy,Defense,17
A009,C073,Rahul Reddy,Defense,13
A014,C074,Anjali Khan,Defense,18
A021,C074,Anjali Reddy,Defense,10
A021,C075,Anjali Reddy,Prosecution,18
A014,C076,Anjali Khan,Defense,5
A007,C076,Sneha Joshi,Prosecution,19
A013,C077,Rahul Mehta,Defense,6
A002,C077,Sneha Reddy,Defense,12
A017,C078,Amit Khan,Defense,6
A020,C078,Amit Singh,Defense,16
A024,C079,Kavita Singh,Defense,16
A012,C079,Rahul Joshi,Prosecution,18
A012,C080,Rahul Joshi,Prosecution,10
A008,C080,Sneha Khan,Defense,19
A012,C081,Rahul Joshi,Defense,16
A003,C081,Neha Joshi,Prosecution,17
A003,C082,Neha Joshi,Defense,8
A023,C083,Vikram Patel,Prosecution,9
A005,C083,Rahul Das,Defense,9
A011,C084,Arjun Nair,Prosecution,20
A010,C084,Neha Gupta,Defense,14
A001,C085,Anjali Nair,Prosecution,19
A009,C086,Rahul Reddy,Defense,17
A003,C086,Neha Joshi,Defense,11
A024,C087,Kavita Singh,Prosecution,9
A017,C088,Amit Khan,Prosecution,9
A003,C089,Neha Joshi,Prosecution,10
A014,C090,Anjali Khan,Prosecution,19
A001,C090,Anjali Nair,Defense,10
A021,C091,Anjali Reddy,Defense,6
A001,C092,Anjali Nair,Defense,5
A012,C093,Rahul Joshi,Defense,4
A003,C093,Neha Joshi,Defense,6
A016,C094,Amit Nair,Defense,5
A021,C094,Anjali Reddy,Defense,13
A011,C095,Arjun Nair,Prosecution,19
A010,C096,Neha Gupta,Defense,3
A016,C096,Amit Nair,Defense,9
A022,C097,Sneha Gupta,Prosecution,18
A020,C097,Amit Singh,Prosecution,8
A018,C098,Rahul Sharma,Prosecution,19
A013,C098,Rahul Mehta,Prosecution,4
A003,C099,Neha Joshi,Defense,11
A017,C099,Amit Khan,Prosecution,13
A022,C100,Sneha Gupta,Prosecution,15
