Case_Id,Officer_Id,Role_In_Case
C001,O091,Lead Investigator
C001,O020,Forensic Officer
C002,O024,Assistant Officer
C002,O031,Assistant Officer
C003,O014,Lead Investigator
C004,O052,Lead Investigator
C004,O066,Cyber Analyst
C005,O056,Lead Investigator
C006,O018,Field Officer
C006,O012,Forensic Officer
C007,O019,Forensic Officer
C007,O087,Field Officer
C007,O058,Field Officer
C008,O031,Assistant Officer
C008,O006,Forensic Officer
C009,O045,Forensic Officer
C009,O052,Cyber Analyst
C010,O017,Lead Investigator
C010,O067,Assistant Officer
C010,O006,Cyber Analyst
C011,O100,Assistant Officer
C011,O021,Assistant Officer
C012,O078,Field Officer
C012,O064,Forensic Officer
C012,O060,Field Officer
C013,O095,Lead Investigator
C013,O017,Cyber Analyst
C013,O052,Field Officer
C014,O006,Assistant Officer
C014,O056,Assistant Officer
C015,O037,Lead Investigator
C016,O087,Forensic Officer
C017,O052,Forensic Officer
C017,O003,Cyber Analyst
C017,O039,Assistant Officer
C018,O079,Assistant Officer
C018,O039,Lead Investigator
C018,O053,Forensic Officer
C019,O075,Lead Investigator
C019,O044,Field Officer
C020,O100,Forensic Officer
C020,O075,Forensic Officer
C021,O085,Cyber Analyst
C021,O007,Assistant Officer
C022,O094,Lead Investigator
C023,O012,Field Officer
C023,O080,Lead Investigator
C023,O038,Field Officer
C024,O061,Field Officer
C024,O088,Lead Investigator
C025,O063,Lead Investigator
C026,O092,Field Officer
C027,O092,Cyber Analyst
C027,O014,Assistant Officer
C028,O063,Assistant Officer
C028,O094,Lead Investigator
C029,O085,Field Officer
C030,O082,Field Officer
C030,O064,Cyber Analyst
C030,O049,Assistant Officer
C031,O081,Field Officer
C032,O073,Field Officer
C032,O042,Lead Investigator
C033,O028,Lead Investigator
C033,O087,Lead Investigator
C033,O082,Forensic Officer
C034,O012,Forensic Officer
C034,O090,Cyber Analyst
C035,O093,Cyber Analyst
C035,O080,Field Officer
C036,O098,Lead Investigator
C037,O063,Lead Investigator
C037,O057,Cyber Analyst
C037,O005,Lead Investigator
C038,O070,Field Officer
C038,O005,Field Officer
C038,O067,Lead Investigator
C039,O036,Forensic Officer
C039,O098,Lead Investigator
C040,O099,Lead Investigator
C040,O016,Field Officer
C040,O056,Assistant Officer
C041,O034,Field Officer
C041,O054,Forensic Officer
C042,O064,Field Officer
C043,O017,Lead Investigator
C043,O086,Forensic Officer
C043,O024,Cyber Analyst
C044,O004,Lead Investigator
C044,O098,Assistant Officer
C044,O039,Field Officer
C045,O041,Lead Investigator
C046,O032,Assistant Officer
C046,O037,Assistant Officer
C047,O096,Assistant Officer
C047,O051,Assistant Officer
C047,O078,Forensic Officer
C048,O013,Forensic Officer
C048,O057,Lead Investigator
C049,O025,Field Officer
C049,O066,Lead Investigator
C050,O067,Field Officer
C051,O035,Assistant Officer
C052,O073,Forensic Officer
C053,O069,Field Officer
C053,O097,Assistant Officer
C054,O079,Field Officer
C055,O009,Assistant Officer
C056,O032,Assistant Officer
C056,O077,Assistant Officer
C056,O018,Lead Investigator
C057,O010,Forensic Officer
C058,O055,Lead Investigator
C059,O028,Lead Investigator
C059,O077,Field Officer
C060,O054,Field Officer
C060,O023,Cyber Analyst
C061,O041,Assistant Officer
C061,O070,Forensic Officer
C062,O085,Field Officer
C063,O034,Assistant Officer
C063,O027,Cyber Analyst
C064,O082,Cyber Analyst
C065,O061,Lead Investigator
C065,O030,Forensic Officer
C066,O007,Assistant Officer
C066,O092,Field Officer
C066,O064,Field Officer
C067,O002,Assistant Officer
C067,O091,Assistant Officer
C068,O050,Field Officer
C068,O048,Lead Investigator
C069,O001,Cyber Analyst
C069,O042,Forensic Officer
C069,O084,Cyber Analyst
C070,O076,Cyber Analyst
C070,O012,Assistant Officer
C070,O021,Assistant Officer
C071,O073,Forensic Officer
C072,O070,Lead Investigator
C072,O045,Field Officer
C073,O052,Assistant Officer
C073,O014,Lead Investigator
C074,O029,Field Officer
C075,O040,Field Officer
C076,O038,Lead Investigator
C076,O072,Lead Investigator
C076,O010,Assistant Officer
C077,O017,Forensic Officer
C077,O039,Cyber Analyst
C078,O005,Forensic Officer
C078,O093,Field Officer
C079,O065,Forensic Officer
C079,O056,Cyber Analyst
C079,O040,Lead Investigator
C080,O060,Forensic Officer
C081,O017,Field Officer
C081,O094,Field Officer
C082,O095,Assistant Officer
C082,O034,Assistant Officer
C082,O011,Field Officer
C083,O039,Forensic Officer
C084,O009,Field Officer
C084,O089,Forensic Officer
C084,O037,Assistant Officer
C085,O086,Field Officer
C086,O049,Cyber Analyst
C087,O001,Field Officer
C088,O087,Field Officer
C088,O066,Lead Investigator
C088,O036,Forensic Officer
C089,O100,Lead Investigator
C090,O041,Cyber Analyst
C091,O086,Cyber Analyst
C091,O041,Assistant Officer
C091,O097,Field Officer
C092,O070,Assistant Officer
C093,O085,Assistant Officer
C093,O021,Lead Investigator
C093,O037,Cyber Analyst
C094,O053,Cyber Analyst
C095,O043,Forensic Officer
C095,O005,Forensic Officer
C096,O073,Field Officer
C096,O023,Cyber Analyst
C096,O019,Cyber Analyst
C097,O072,Forensic Officer
C097,O026,Cyber Analyst
C097,O003,Lead Investigator
C098,O027,Lead Investigator
C098,O098,Forensic Officer
C098,O088,Assistant Officer
C099,O085,Field Officer
C099,O082,Field Officer
C099,O069,Forensic Officer
C100,O095,Lead Investigator
C100,O009,Forensic Officer
