user_id,case_id
U001,C001
U002,C002
U003,C003
U004,C004
U005,C005
U006,C006
U007,C007
U008,C008
U009,C009
U010,C010
U011,C011
U012,C012
U013,C013
U014,C014
U015,C015
U016,C016
U017,C017
U018,C018
U019,C019
U020,C020
U021,C021
U022,C022
U023,C023
U024,C024
U025,C025
U026,C026
U027,C027
U028,C028
U029,C029
U030,C030
U031,C031
U032,C032
U033,C033
U034,C034
U035,C035
U036,C036
U037,C037
U038,C038
U039,C039
U040,C040
U041,C041
U042,C042
U043,C043
U044,C044
U045,C045
U046,C046
U047,C047
U048,C048
U049,C049
U050,C050
U051,C051
U052,C052
U053,C053
U054,C054
U055,C055
U056,C056
U057,C057
U058,C058
U059,C059
U060,C060
U061,C061
U062,C062
U063,C063
U064,C064
U065,C065
U066,C066
U067,C067
U068,C068
U069,C069
U070,C070
U071,C071
U072,C072
U073,C073
U074,C074
U075,C075
U076,C076
U077,C077
U078,C078
U079,C079
U001,C080
U002,C081
U003,C082
U004,C083
U005,C084
U006,C085
U007,C086
U008,C087
U009,C088
U010,C089
U011,C090
U012,C091
U013,C092
U014,C093
U015,C094
U016,C095
U017,C096
U018,C097
U019,C098
U020,C099
U021,C100
U022,C101
U023,C102
U024,C103
