Case_Id,Title,Description,Start_Date,Status,Crime_Type
C001,Jewelry Theft,Gold jewelry stolen from residence,26-01-2025,Under Investigation,Theft
C002,Bank Fraud,Unauthorized bank transactions detected,29-11-2025,Under Investigation,Fraud
C003,Jewelry Theft,Gold jewelry stolen from residence,26-07-2025,Under Investigation,Theft
C004,Email Phishing Scam,Multiple victims of phishing attack,23-12-2023,Closed,Cybercrime
C005,Email Phishing Scam,Multiple victims of phishing attack,10-11-2023,Closed,Cybercrime
C006,Domestic Violence Case,Reported abuse in household,28-10-2025,Under Investigation,Assault
C007,Homicide Investigation,Suspicious death under investigation,24-02-2024,Under Investigation,Murder
C008,ATM Robbery,Cash stolen from ATM machine,17-03-2024,Closed,Robbery
C009,Bank Fraud,Unauthorized bank transactions detected,08-11-2025,Closed,Fraud
C010,Homicide Investigation,Suspicious death under investigation,13-11-2024,Closed,Murder
C011,Convenience Store Robbery,Armed robbery at local store,01-01-2024,Open,Robbery
C012,Domestic Violence Case,Reported abuse in household,24-02-2023,Open,Assault
C013,Insurance Fraud,Fake insurance claims submitted,11-04-2024,Under Investigation,Fraud
C014,Vehicle Theft,Car stolen from parking lot,11-10-2024,Open,Theft
C015,Convenience Store Robbery,Armed robbery at local store,14-06-2025,Under Investigation,Robbery
C016,Jewelry Theft,Gold jewelry stolen from residence,31-08-2023,Under Investigation,Theft
C017,Convenience Store Robbery,Armed robbery at local store,18-10-2024,Under Investigation,Robbery
C018,Convenience Store Robbery,Armed robbery at local store,12-11-2023,Under Investigation,Robbery
C019,Domestic Violence Case,Reported abuse in household,14-08-2023,Open,Assault
C020,ATM Robbery,Cash stolen from ATM machine,16-01-2024,Open,Robbery
C021,Data Breach,Company data leak detected,03-05-2023,Closed,Cybercrime
C022,Data Breach,Company data leak detected,09-09-2025,Under Investigation,Cybercrime
C023,Convenience Store Robbery,Armed robbery at local store,15-02-2023,Under Investigation,Robbery
C024,Convenience Store Robbery,Armed robbery at local store,31-10-2023,Under Investigation,Robbery
C025,Data Breach,Company data leak detected,19-08-2024,Under Investigation,Cybercrime
C026,Vehicle Theft,Car stolen from parking lot,29-01-2024,Closed,Theft
C027,Data Breach,Company data leak detected,17-02-2023,Closed,Cybercrime
C028,ATM Robbery,Cash stolen from ATM machine,04-04-2025,Under Investigation,Robbery
C029,Convenience Store Robbery,Armed robbery at local store,11-04-2023,Under Investigation,Robbery
C030,Email Phishing Scam,Multiple victims of phishing attack,16-11-2023,Under Investigation,Cybercrime
C031,Bank Fraud,Unauthorized bank transactions detected,15-10-2024,Open,Fraud
C032,Email Phishing Scam,Multiple victims of phishing attack,17-05-2025,Closed,Cybercrime
C033,ATM Robbery,Cash stolen from ATM machine,02-02-2024,Closed,Robbery
C034,Jewelry Theft,Gold jewelry stolen from residence,12-01-2025,Closed,Theft
